timestamp,buyer,seller,symbol,currency,price,quantity,day,mid_price,own_future_mid_t_plus_1,own_forward_return_t_plus_1,own_future_mid_t_plus_3,own_forward_return_t_plus_3,own_future_mid_t_plus_5,own_forward_return_t_plus_5,own_future_mid_t_plus_10,own_forward_return_t_plus_10,own_future_mid_t_plus_20,own_forward_return_t_plus_20,underlying_mid,underlying_future_mid_t_plus_1,underlying_forward_return_t_plus_1,underlying_future_mid_t_plus_3,underlying_forward_return_t_plus_3,underlying_future_mid_t_plus_5,underlying_forward_return_t_plus_5,underlying_future_mid_t_plus_10,underlying_forward_return_t_plus_10,underlying_future_mid_t_plus_20,underlying_forward_return_t_plus_20,is_coupon,strike,mid_price_missing,buy_exec_edge,sell_exec_edge,buy_exec_score,sell_exec_score,delta_proxy,buy_realized_pnl_t_plus_1,sell_realized_pnl_t_plus_1,buy_hit_t_plus_1,sell_hit_t_plus_1,buy_product_score_t_plus_1,sell_product_score_t_plus_1,buy_coupon_underlying_score_t_plus_1,sell_coupon_underlying_score_t_plus_1,buy_coupon_score_t_plus_1,sell_coupon_score_t_plus_1,buy_coupon_underlying_hit_t_plus_1,sell_coupon_underlying_hit_t_plus_1,buy_realized_pnl_t_plus_3,sell_realized_pnl_t_plus_3,buy_hit_t_plus_3,sell_hit_t_plus_3,buy_product_score_t_plus_3,sell_product_score_t_plus_3,buy_coupon_underlying_score_t_plus_3,sell_coupon_underlying_score_t_plus_3,buy_coupon_score_t_plus_3,sell_coupon_score_t_plus_3,buy_coupon_underlying_hit_t_plus_3,sell_coupon_underlying_hit_t_plus_3,buy_realized_pnl_t_plus_5,sell_realized_pnl_t_plus_5,buy_hit_t_plus_5,sell_hit_t_plus_5,buy_product_score_t_plus_5,sell_product_score_t_plus_5,buy_coupon_underlying_score_t_plus_5,sell_coupon_underlying_score_t_plus_5,buy_coupon_score_t_plus_5,sell_coupon_score_t_plus_5,buy_coupon_underlying_hit_t_plus_5,sell_coupon_underlying_hit_t_plus_5,buy_realized_pnl_t_plus_10,sell_realized_pnl_t_plus_10,buy_hit_t_plus_10,sell_hit_t_plus_10,buy_product_score_t_plus_10,sell_product_score_t_plus_10,buy_coupon_underlying_score_t_plus_10,sell_coupon_underlying_score_t_plus_10,buy_coupon_score_t_plus_10,sell_coupon_score_t_plus_10,buy_coupon_underlying_hit_t_plus_10,sell_coupon_underlying_hit_t_plus_10,buy_realized_pnl_t_plus_20,sell_realized_pnl_t_plus_20,buy_hit_t_plus_20,sell_hit_t_plus_20,buy_product_score_t_plus_20,sell_product_score_t_plus_20,buy_coupon_underlying_score_t_plus_20,sell_coupon_underlying_score_t_plus_20,buy_coupon_score_t_plus_20,sell_coupon_score_t_plus_20,buy_coupon_underlying_hit_t_plus_20,sell_coupon_underlying_hit_t_plus_20
4500,Mark 01,Mark 22,VEV_5400,XIRECS,18.0,2,1,18.5,18.5,0.0,18.0,-0.5,18.0,-0.5,18.5,0.0,18.0,-0.5,5254.5,5253.5,-1.0,5251.5,-3.0,5252.0,-2.5,5254.5,0.0,5250.5,-4.0,True,5400.0,False,0.5,-0.5,1.0,-1.0,0.22925900370053998,1.0,-1.0,False,False,1.15,-1.15,-0.45851800740107995,0.45851800740107995,0.54148199259892,-0.54148199259892,False,True,0.0,0.0,False,True,0.15,-0.15,-1.3755540222032399,1.3755540222032399,-1.3755540222032399,1.3755540222032399,False,True,0.0,0.0,False,True,0.15,-0.15,-1.1462950185026999,1.1462950185026999,-1.1462950185026999,1.1462950185026999,False,True,1.0,-1.0,False,False,1.15,-1.15,0.0,-0.0,1.0,-1.0,False,False,0.0,0.0,False,True,0.15,-0.15,-1.8340720296043198,1.8340720296043198,-1.8340720296043198,1.8340720296043198,False,True
4500,Mark 01,Mark 22,VEV_5500,XIRECS,8.0,2,1,8.5,8.5,0.0,8.5,0.0,8.5,0.0,8.5,0.0,8.0,-0.5,5254.5,5253.5,-1.0,5251.5,-3.0,5252.0,-2.5,5254.5,0.0,5250.5,-4.0,True,5500.0,False,0.5,-0.5,1.0,-1.0,0.11447407728709028,1.0,-1.0,False,False,1.15,-1.15,-0.22894815457418055,0.22894815457418055,0.7710518454258195,-0.7710518454258195,False,True,1.0,-1.0,False,False,1.15,-1.15,-0.6868444637225417,0.6868444637225417,0.3131555362774583,-0.3131555362774583,False,True,1.0,-1.0,False,False,1.15,-1.15,-0.5723703864354514,0.5723703864354514,0.42762961356454865,-0.42762961356454865,False,True,1.0,-1.0,False,False,1.15,-1.15,0.0,-0.0,1.0,-1.0,False,False,0.0,0.0,False,True,0.15,-0.15,-0.9157926182967222,0.9157926182967222,-0.9157926182967222,0.9157926182967222,False,True
4500,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,2,1,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,5254.5,5253.5,-1.0,5251.5,-3.0,5252.0,-2.5,5254.5,0.0,5250.5,-4.0,True,6000.0,False,0.5,-0.5,1.0,-1.0,0.0020002117783092838,1.0,-1.0,False,False,1.15,-1.15,-0.0040004235566185676,0.0040004235566185676,0.9959995764433814,-0.9959995764433814,False,True,1.0,-1.0,False,False,1.15,-1.15,-0.012001270669855704,0.012001270669855704,0.9879987293301443,-0.9879987293301443,False,True,1.0,-1.0,False,False,1.15,-1.15,-0.010001058891546418,0.010001058891546418,0.9899989411084535,-0.9899989411084535,False,True,1.0,-1.0,False,False,1.15,-1.15,0.0,-0.0,1.0,-1.0,False,False,1.0,-1.0,False,False,1.15,-1.15,-0.01600169422647427,0.01600169422647427,0.9839983057735258,-0.9839983057735258,False,True
4500,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,2,1,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,5254.5,5253.5,-1.0,5251.5,-3.0,5252.0,-2.5,5254.5,0.0,5250.5,-4.0,True,6500.0,False,0.5,-0.5,1.0,-1.0,3.107217793518774e-05,1.0,-1.0,False,False,1.15,-1.15,-6.214435587037548e-05,6.214435587037548e-05,0.9999378556441296,-0.9999378556441296,False,True,1.0,-1.0,False,False,1.15,-1.15,-0.00018643306761112645,0.00018643306761112645,0.9998135669323889,-0.9998135669323889,False,True,1.0,-1.0,False,False,1.15,-1.15,-0.0001553608896759387,0.0001553608896759387,0.9998446391103241,-0.9998446391103241,False,True,1.0,-1.0,False,False,1.15,-1.15,0.0,-0.0,1.0,-1.0,False,False,1.0,-1.0,False,False,1.15,-1.15,-0.0002485774234815019,0.0002485774234815019,0.9997514225765185,-0.9997514225765185,False,True
5100,Mark 38,Mark 22,HYDROGEL_PACK,XIRECS,9960.0,4,1,9956.0,9956.0,0.0,9956.5,0.5,9952.0,-4.0,9949.0,-7.0,9949.0,-7.0,5252.0,5251.5,-0.5,5254.0,2.0,5253.0,1.0,5252.5,0.5,5248.5,-3.5,False,,False,-4.0,4.0,-16.0,16.0,,-16.0,16.0,False,False,-18.4,18.4,,,,,False,True,-14.0,14.0,True,False,-16.4,16.4,,,,,True,False,-32.0,32.0,False,True,-34.4,34.4,,,,,True,False,-44.0,44.0,False,True,-46.4,46.4,,,,,True,False,-44.0,44.0,False,True,-46.4,46.4,,,,,False,True
5300,Mark 38,Mark 14,VEV_4000,XIRECS,1264.0,2,1,1253.5,1255.5,2.0,1253.5,0.0,1253.5,0.0,1252.5,-1.0,1246.5,-7.0,5253.5,5254.0,0.5,5253.0,-0.5,5253.5,0.0,5252.5,-1.0,5246.5,-7.0,True,4000.0,False,-10.5,10.5,-21.0,21.0,0.9999709317022505,-17.0,17.0,True,False,-20.15,20.15,0.9999709317022505,-0.9999709317022505,-16.00002906829775,16.00002906829775,True,False,-21.0,21.0,False,False,-24.15,24.15,-0.9999709317022505,0.9999709317022505,-21.99997093170225,21.99997093170225,False,True,-21.0,21.0,False,False,-24.15,24.15,0.0,-0.0,-21.0,21.0,False,False,-23.0,23.0,False,True,-26.15,26.15,-1.999941863404501,1.999941863404501,-24.9999418634045,24.9999418634045,False,True,-35.0,35.0,False,True,-38.15,38.15,-13.999593043831506,13.999593043831506,-48.99959304383151,48.99959304383151,False,True
6100,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5255.0,3,1,5252.5,5252.5,0.0,5252.0,-0.5,5250.5,-2.0,5248.5,-4.0,5247.5,-5.0,5252.5,5252.5,0.0,5252.0,-0.5,5250.5,-2.0,5248.5,-4.0,5247.5,-5.0,False,,False,-2.5,2.5,-7.5,7.5,,-7.5,7.5,False,False,-8.625,8.625,,,,,False,False,-9.0,9.0,False,True,-10.125,10.125,,,,,False,True,-13.5,13.5,False,True,-14.625,14.625,,,,,False,True,-19.5,19.5,False,True,-20.625,20.625,,,,,False,True,-22.5,22.5,False,True,-23.625,23.625,,,,,False,True
6200,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9955.0,5,1,9947.0,9946.0,-1.0,9940.5,-6.5,9945.0,-2.0,9946.0,-1.0,9945.0,-2.0,5252.5,5252.5,0.0,5250.5,-2.0,5250.0,-2.5,5247.5,-5.0,5245.5,-7.0,False,,False,-8.0,8.0,-40.0,40.0,,-45.0,45.0,False,True,-51.0,51.0,,,,,False,False,-72.5,72.5,False,True,-78.5,78.5,,,,,False,True,-50.0,50.0,False,True,-56.0,56.0,,,,,False,True,-45.0,45.0,False,True,-51.0,51.0,,,,,False,True,-50.0,50.0,False,True,-56.0,56.0,,,,,False,True
9400,Mark 55,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5244.0,8,1,5243.5,5244.0,0.5,5245.0,1.5,5245.0,1.5,5239.5,-4.0,5243.5,0.0,5243.5,5244.0,0.5,5245.0,1.5,5245.0,1.5,5239.5,-4.0,5243.5,0.0,False,,False,-0.5,0.5,-4.0,4.0,,0.0,0.0,True,False,-0.6,0.6,,,,,True,False,8.0,-8.0,True,False,7.4,-7.4,,,,,True,False,8.0,-8.0,True,False,7.4,-7.4,,,,,True,False,-36.0,36.0,False,True,-36.6,36.6,,,,,False,True,-4.0,4.0,False,False,-4.6,4.6,,,,,False,False
9600,Mark 01,Mark 22,VEV_5400,XIRECS,16.0,4,1,17.0,16.5,-0.5,16.5,-0.5,16.5,-0.5,16.0,-1.0,16.0,-1.0,5246.5,5245.0,-1.5,5245.0,-1.5,5244.0,-2.5,5241.5,-5.0,5241.5,-5.0,True,5400.0,False,1.0,-1.0,4.0,-4.0,0.21769210873470124,2.0,-2.0,False,True,2.6,-2.6,-1.3061526524082074,1.3061526524082074,0.6938473475917926,-0.6938473475917926,False,True,2.0,-2.0,False,True,2.6,-2.6,-1.3061526524082074,1.3061526524082074,0.6938473475917926,-0.6938473475917926,False,True,2.0,-2.0,False,True,2.6,-2.6,-2.1769210873470124,2.1769210873470124,-0.1769210873470124,0.1769210873470124,False,True,0.0,0.0,False,True,0.6,-0.6,-4.353842174694025,4.353842174694025,-4.353842174694025,4.353842174694025,False,True,0.0,0.0,False,True,0.6,-0.6,-4.353842174694025,4.353842174694025,-4.353842174694025,4.353842174694025,False,True
