bucket,reversal_prob,samples,product
Q1,0.6568201563857515,5755,ASH_COATED_OSMIUM
Q2,0.7576343254735215,2587,ASH_COATED_OSMIUM
Q3,0.799501246882793,2005,ASH_COATED_OSMIUM
Q4,0.7808134119838559,3221,ASH_COATED_OSMIUM
Q5,0.8207917799939559,3309,ASH_COATED_OSMIUM
Q1,0.5642709053213545,2894,INTARIAN_PEPPER_ROOT
Q2,0.7728119180633147,4833,INTARIAN_PEPPER_ROOT
Q3,0.7884084636614536,1087,INTARIAN_PEPPER_ROOT
Q4,0.7809349220898258,3273,INTARIAN_PEPPER_ROOT
Q5,0.8616688978134761,2241,INTARIAN_PEPPER_ROOT
