day,timestamp,product,option_mid,strike,spot,ttm_years,moneyness,implied_vol
1,0,VEV_4000,1245.0,4000.0,5245.0,0.0136986301369863,-0.2709808807283699,1e-06
1,0,VEV_4500,745.0,4500.0,5245.0,0.0136986301369863,-0.15319784507198642,1e-06
1,0,VEV_5000,251.0,5000.0,5245.0,0.0136986301369863,-0.04783732941416011,0.2872374766117409
1,0,VEV_5100,165.0,5100.0,5245.0,0.0136986301369863,-0.028034702117980415,0.28911449169289505
1,0,VEV_5200,95.5,5200.0,5245.0,0.0136986301369863,-0.008616616260878852,0.29008450121325813
1,0,VEV_5300,47.0,5300.0,5245.0,0.0136986301369863,0.010431578709815719,0.2889955618239026
1,0,VEV_5400,16.5,5400.0,5245.0,0.0136986301369863,0.02912371172196825,0.2716525321873743
1,0,VEV_5500,7.5,5500.0,5245.0,0.0136986301369863,0.047472850390164766,0.2982179352084287
1,0,VEV_6000,0.5,6000.0,5245.0,0.0136986301369863,0.13448422737979443,0.4498928944843412
1,0,VEV_6500,0.5,6500.0,5245.0,0.0136986301369863,0.21452693505333098,0.6800484356495738
1,2000,VEV_5000,256.0,5000.0,5251.5,0.0136986301369863,-0.04907583764659263,0.274101621358797
1,2000,VEV_5100,169.0,5100.0,5251.5,0.0136986301369863,-0.029273210350412932,0.2815797769215238
1,2000,VEV_5200,98.5,5200.0,5251.5,0.0136986301369863,-0.009855124493311362,0.28585321489303933
1,2000,VEV_5300,49.0,5300.0,5251.5,0.0136986301369863,0.009193070477383214,0.2866762989934162
1,2000,VEV_5400,17.5,5400.0,5251.5,0.0136986301369863,0.027885203489535642,0.27028909483727626
1,2000,VEV_5500,8.0,5500.0,5251.5,0.0136986301369863,0.04623434215773227,0.29723783015337585
1,2000,VEV_6000,0.5,6000.0,5251.5,0.0136986301369863,0.13324571914736208,0.4461759495795369
1,2000,VEV_6500,0.5,6500.0,5251.5,0.0136986301369863,0.21328842682089835,0.6764787141879202
1,4000,VEV_4000,1252.5,4000.0,5252.5,0.0136986301369863,-0.27240979261712783,1e-06
1,4000,VEV_5000,258.0,5000.0,5252.5,0.0136986301369863,-0.0492662413029181,0.2877278178492076
1,4000,VEV_5100,171.0,5100.0,5252.5,0.0136986301369863,-0.02946361400673836,0.28880228448864814
1,4000,VEV_5200,100.5,5200.0,5252.5,0.0136986301369863,-0.010045528149636744,0.2917504879544359
1,4000,VEV_5300,50.0,5300.0,5252.5,0.0136986301369863,0.009002666821057655,0.28920225020154944
1,4000,VEV_5400,18.0,5400.0,5252.5,0.0136986301369863,0.027694799833210344,0.27208893123210776
1,4000,VEV_5500,8.5,5500.0,5252.5,0.0136986301369863,0.0460439385014068,0.30106718567045404
1,4000,VEV_6000,0.5,6000.0,5252.5,0.0136986301369863,0.1330553154910366,0.44560434115046277
1,4000,VEV_6500,0.5,6500.0,5252.5,0.0136986301369863,0.21309802316457305,0.6759297555193307
1,6000,VEV_4000,1253.5,4000.0,5253.5,0.0136986301369863,-0.27260016002680226,1e-06
